| STT | Tiếng Trung | Pinyin | Nghĩa Tiếng Việt |
| --- | --- | --- | --- |
| 1 | 啊 | a | A, Chà, À |
| 2 | 愛 | ài | Yêu, Thích |
| 3 | 矮 | ǎi | Lùn, Thấp Lùn, Thấp |
| 4 | 安靜 | ānjìng | Tĩnh Lặng, Yên Lặng |
| 5 | 安排 | ānpái | Sắp Xếp |
| 6 | 安全 | ānquán | An Toàn |
| 7 | 安全帽 | ānquán mào | Mũ Bảo Hiểm |
| 8 | 安全門 | ānquánmén | Cửa An Toàn |
| 9 | 阿姨 | āyí | Dì, Cô, Mợ, Thím, Bác Gái |
| 10 | 吧 | ba | Nào, Nhé, Chứ, Thôi, Đi (Dùng Ở Cuối Câu |
| 11 | 把 | bǎ | Cầm, Nắm |
| 12 | 八 | bā | Bát: Số 8 |
| 13 | 爸爸 | bàba | Ba, Bố |
| 14 | 百 | bǎi | Bách: Số 100 |
| 15 | 百貨公司 | bǎihuògōngsī | Công Ty Bách Hóa, Trung Tâm Thương Mại |
| 16 | 白色 | báisè | Màu Trắng |
| 17 | 半 | bàn | Một Nửa |
| 18 | 辦 | bàn | Làm, Lo Liệu, Xử Lý |
| 19 | 搬 | Bān | Chuyển, Xê Dịch, Dời Chỗ, Chuyển Chỗ |
| 20 | 班 | bān | Lớp Học, Ca, Buổi Làm, Ban, Tuyến, Chuyến |
| 21 | 辦法 | bànfǎ | Phương Pháp, Biện Pháp |
| 22 | 棒 | bàng | Tuyệt, Quá Tốt, Khoẻ, Vâm, Đô |
| 23 | 幫 | Bāng | Giúp Đỡ |
| 24 | 幫忙 | bāngmáng | Giúp Đỡ |
| 25 | 辦公室 | bàngōngshì | Văn Phòng |
| 26 | 棒球 | bàngqiú | Bóng Chày |
| 27 | 幫助 | bāngzhù | Giúp Đỡ |
| 28 | 搬家 | bānjiā | Chuyển Nhà |
| 29 | 半夜 | bànyè | Nửa Đêm |
| 30 | 抱 | bào | Bế, Bồng, Ẳm, Ôm |
| 31 | 飽 | bǎo | Đầy |
| 32 | 包 | bāo | Cái Túi, Bao, Gói, Đùm, Bọc, Quấn |
| 33 | 報告 | bàogào | Báo Cáo |
| 34 | 包含 | bāohán | Bao Hàm, Bao Gồm |
| 35 | 保護 | bǎohù | Bảo Vệ, Bảo Hộ |
| 36 | 保健 | bǎojiàn | Chăm Sóc Sức Khỏe |
| 37 | 抱歉 | bàoqiàn | Xin Lỗi |
| 38 | 保養品 | bǎoyǎng pǐn | Sản Phẩm Chăm Sóc |
| 39 | 報紙 | bàozhǐ | Báo, Giấy Báo, Giấy In Báo |
| 40 | 包子 | bāozi | Bánh Bao |
| 41 | 被 | bèi | Bị, Được, Chăn Mềm |
| 42 | 北 | běi | Bắc, |
| 43 | 杯 | bēi | Cố, Ly |
| 44 | 北邊 | běi biān | Hướng Bắc |
| 45 | 北京 | běijīng | Bắc Kinh |
| 46 | 北京烤鴨 | běijīng kǎoyā | Vịt Bắc Kinh |
| 47 | 杯子 | bēizi | Cốc, Ly |
| 48 | 本 | běn | Sách |
| 49 | 本來 | běnlái | Ban Đầu |
| 50 | 避 | bì | Phòng Ngừa, Ngừa, Phòng Chống |
| 51 | 筆 | Bǐ | Bút |
| 52 | 比 | bǐ | Tỷ: So Sánh, So Đo |
| 53 | 必經 | Bì jīng | Phải Trải Qua |
| 54 | 變 | biàn | Thay Đổi |
| 55 | 遍 | biàn | Lần, Lượt, Đợt |
